Table Name,Column Count,Row Count,Columns ,Primary Key,Foreign Key 
AccountCredits,6,"108,688","accountCreditId
currentTotal
currentBonus
createdAt
updatedAt
customerId",accountCreditId,customerId
CreditTransactions,32,"413,443","creditTransactionId
creditAmount
createdAt
updatedAt
accountCreditId
invoiceId
orderId
creditExpirationDate
description
stripeId
paypalId
shopifyId
creditsBefore
creditsAfter
userId
completed
bonusAmount
bonusBefore
bonusAfter
amount
source
currencyId
chargeId
returnUrl
paymentData
retry
squareBatchId
squareId
resizeId
altiusId
customerShopAccountId
isSubscriptionFee",creditTransactionId,"orderId, invoiceId, accountCreditId"
Orders,36,124416,"orderId
status
customerId
templateId
userId
instructions
instructionsOriginal
submittedDTS
agreedDTS
approvedDTS
approvedFirstDTS
deliveredDTS
isCanceled
isPaused
legacy_sr_no
createdAt
updatedAt
orderReview
payment
paymentNotifyDTS
usedCredits
pausedDTS
source
priority
assignedDTS
assignedFirstDTS
dAssignedIds
dAssignedLogins
addons
assignStartedDTS
squareId
customerShopAccountId
rejectDeadlineDTS
assignedQaDTS
dAssignedQaIds
dAssignedQaLogins",orderId,customerId
Subscriptions,17,131242,"subscriptionId
createdAt
updatedAt
accountCreditId
subscriptionTypeId
active
lastActiveCheckedDTS
startDTS
endDTS
lastChargeDTS
nextChargeDTS
retries
paymentProviderId
trialEndDTS
ref
customerShopAccountId
isCanceled",subscriptionId,"accountCreditId, subscriptionTypeId"
SubscriptionTypes,20,17,"subscriptionTypeId
title
createdAt
updatedAt
active
period
key
info
infoPrice
stripePlanId
deactivate
group
orderIndex
orderPrice
description
titleSignup
descriptionSignup
descriptionSignupNew
descriptionPrice
trialDays",subscriptionId,
